"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",196.72007234368,-0.516220714440988,0.373522917845385,1.38203223892857,0.166961802449297,0.667652297936738
"A1BG-AS1",51.5152464494618,0.236019807275259,0.356717816293244,-0.66164289108912,0.508200112628774,0.851731449441046
"A2M",0,NA,NA,NA,NA,NA
"A2M-AS1",0.20833269920502,1.50756568089822,3.21300401994807,-0.46920753025469,0.638921303483946,NA
"A2ML1",0,NA,NA,NA,NA,NA
"A2MP1",0,NA,NA,NA,NA,NA
"A4GALT",28.2326951901045,-1.11963756816891,0.464775838565502,2.40898402039269,0.0159969983814478,0.452354329894815
"AAAS",132.674273520487,-0.0675447204752998,0.427495786593412,0.158000903385607,0.874456086859182,0.970231422775813
"AACS",142.790966006979,-0.455304556124262,0.285529862144672,1.59459522974017,0.110802780026603,0.607137295131806
"AACSP1",0,NA,NA,NA,NA,NA
"AADACL3",0.0718954292871532,-0.528978170065819,3.22591852485292,0.163977535697352,0.869748828336459,NA
"AADAT",5.94763589915209,0.585038329479619,0.73272828577488,-0.798438303580603,0.424616182777458,0.81222199445913
"AAED1",42.0483773287029,0.172226563755418,0.453942377521281,-0.379401819005858,0.704389499988541,0.924303172472726
"AAGAB",646.178495224036,-0.182295884318535,0.407252896433978,0.447623297255267,0.654425086561895,0.907552428548792
"AAK1",83.6422047359019,0.150117886563085,0.396410843709915,-0.378692684484024,0.704916086410841,0.924303172472726
"AAMDC",144.26769609688,-0.353606965844142,0.369069179461395,0.958104836497541,0.338009896894453,0.773279124357454
"AAMP",1473.88259439886,-0.408648277126061,0.249772289193052,1.63608332391994,0.101822149807331,0.59418183940749
"AANAT",0.723608602543799,1.06337463299245,1.83532421800091,-0.579393342365803,0.562323795328742,NA
"AAR2",184.490479093012,0.104170142412405,0.307388867776427,-0.338887166493521,0.734694732658193,0.932344450512305
"AARD",0.212591868916166,1.50756568089822,3.21300401994807,-0.46920753025469,0.638921303483946,NA
"AARS",557.839664334572,0.0350894869254774,0.407486712739005,-0.0861119782032065,0.931377401766751,0.984583629176003
"AARS2",24.4556113828153,-0.0742214741868474,0.427801464418269,0.173495138189335,0.86226224909765,0.966954197671618
"AARSD1",85.3180620426605,-0.641910508379096,0.364386346059784,1.76162064062022,0.0781334141801434,0.568860556145532
"AASDH",10.2504002589415,0.377666967566549,0.662348100509232,-0.570194082652594,0.568546069081946,0.873501622231239
"AASDHPPT",19.7596307115487,0.695291107696971,0.429576015841106,-1.61855197231064,0.105543695862518,0.596624233568525
"AASS",3.71125391513448,1.77761458641355,0.853728712270225,-2.08217734845363,0.037326273492457,NA
"AATF",60.9161315161312,0.204031189470006,0.365617464677687,-0.558045523481411,0.576813298647165,0.877738710309247
"AATK",4.20887081589165,-0.25399948280239,0.854635649122935,0.297202068580986,0.766312242689085,NA
"ABAT",0.0718954292871532,-0.528978170065819,3.22591852485292,0.163977535697352,0.869748828336459,NA
"ABCA1",0.964179090434647,3.10956999189191,1.86420270535412,-1.66804284907484,0.0953072210110779,NA
"ABCA10",0.0683853342094545,-0.528978170065819,3.22591852485292,0.163977535697352,0.869748828336459,NA
"ABCA11P",31.4276470843688,-0.218977609689639,0.342563026834833,0.63923305358701,0.522671332402177,0.858576308177468
"ABCA12",0,NA,NA,NA,NA,NA
"ABCA13",0,NA,NA,NA,NA,NA
"ABCA17P",0.681501117338864,-0.648209378858529,2.03891627278422,0.317918586217065,0.750546693714415,NA
"ABCA2",31.4316714586219,-0.0820678425881397,0.587735893220409,0.139633878983401,0.888949271285415,0.972399833517712
"ABCA3",25.0679191986505,-0.666644387991437,0.48795814737329,1.36619173504947,0.17187879096704,0.671871188103964
"ABCA4",0.900844168683563,0.849850703567647,1.68262047652114,-0.505075693197754,0.613505672835944,NA
"ABCA5",11.8197912042603,0.95406986221283,0.577317442216856,-1.65259143834157,0.098414041715301,0.588450014900149
"ABCA7",3.8914222475879,0.562773534945535,0.864939411009295,-0.650650817597543,0.515271918358033,NA
"ABCA8",0.136770668418909,-0.994143980014513,3.22544826188804,0.308218858061168,0.757915803860899,NA
"ABCA9",0,NA,NA,NA,NA,NA
"ABCA9-AS1",0,NA,NA,NA,NA,NA
"ABCB1",0.424177650948108,-0.911287932457167,2.73135220001144,0.333639847857537,0.738651345304319,NA
"ABCB10",6.89402562648584,-0.688687183922225,0.825711790724548,0.834052742928515,0.404251263307915,0.80507223074904
"ABCB4",0.143560954756604,1.24285965454576,3.21899722777976,-0.386101498882931,0.699421499809809,NA
"ABCB6",145.162807878161,-0.398331506869435,0.256120068643256,1.55525300683978,0.119885824545712,0.619604578449268
"ABCB7",32.8315424637756,0.159473805076201,0.425350081108771,-0.374923650327035,0.707717249496987,0.925432319586074
"ABCB8",45.6088077829596,-0.0191409337177986,0.446906021443923,0.0428298854778362,0.965837140675132,0.99146496928091
"ABCB9",192.415406231128,-0.817878816952093,0.448562924237934,1.82333129368994,0.0682532294104841,0.554446300470497
"ABCC1",117.41235543631,-0.0550239674916588,0.32412920929987,0.169759361121796,0.865199388084215,0.968284892981896
"ABCC10",104.867271939305,-0.610775985177799,0.357669808551378,1.70765317780537,0.0877007148829115,0.579858660751988
"ABCC11",0,NA,NA,NA,NA,NA
"ABCC2",0.918457165005686,-0.609750641517363,1.57125118956742,0.388066940261303,0.697966496385454,NA
"ABCC3",9.50843825748133,-0.0399566682139991,0.676256241774065,0.0590851008031783,0.952884325744914,0.989585824835424
"ABCC4",18.438818682492,0.467505202436713,0.489701024410787,-0.954674748739234,0.339742203353999,0.773612798988587
"ABCC5",56.7743679169613,0.435824566769086,0.320565280962142,-1.35955012177552,0.173972331225295,0.67325654237175
"ABCC6",0.775758037223367,-0.0230771697574418,1.80874609201813,0.0127586563195794,0.989820341286525,NA
"ABCC8",0,NA,NA,NA,NA,NA
"ABCC9",0.900921938778042,-2.23205476163741,2.04703712434358,1.09038313721504,0.275544406773934,NA
"ABCD1",22.1119339275304,-0.706465768058436,0.548451295280399,1.28811031013657,0.197707566869608,0.690148432360525
"ABCD3",71.3155297661502,0.375290796333147,0.392376192060202,-0.956456594276662,0.338841603825327,0.773279124357454
"ABCD4",62.0000909578874,-0.269148154762816,0.518797871398205,0.518791941141621,0.603905838346566,0.889755107043171
"ABCE1",49.17404094496,0.410305896832104,0.48534577946548,-0.845388822138272,0.397893783374185,0.801590753362441
"ABCF1",316.918632595224,0.0124592683247459,0.306271675435327,-0.0406804459048869,0.967550650596909,0.992235309131049
"ABCF2",268.976084392917,-0.0596452794525629,0.301600924593133,0.197762256641042,0.843231077731046,0.962035669536735
"ABCF3",101.123195732119,-0.486546001984278,0.350373077240291,1.38865122233863,0.164938833387859,0.666747971337467
"ABCG1",0,NA,NA,NA,NA,NA
"ABCG2",6.62514544625951,0.585740260090939,0.770798892914611,-0.759913208847626,0.447306465547193,0.81893422922027
"ABCG4",8.14153649649051,-0.133187029049326,0.699685127844616,0.190352808354823,0.849032674961947,0.96241804855749
"ABCG5",0,NA,NA,NA,NA,NA
"ABHD1",0.332809304593272,1.02099096729085,2.91095855725899,-0.350740468202417,0.725783062612602,NA
"ABHD10",87.2010399379261,0.562699945911921,0.299532796469292,-1.87859210258336,0.0603002103206915,0.546578981557477
"ABHD11",36.1567589997848,-0.359245103810169,0.433235939809466,0.829213531934037,0.406983589137117,0.806343962210411
"ABHD11-AS1",5.0286682472333,-1.39793042711136,0.876982829044136,1.59402257468943,0.110930978772279,NA
"ABHD12",270.244067090381,0.281065461577795,0.348877051666601,-0.805628975122133,0.42045681341919,0.809054813006174
"ABHD12B",0,NA,NA,NA,NA,NA
"ABHD13",12.2979239188963,0.00161008344459754,0.570354934918935,-0.00282294996680687,0.997747614797127,0.999055535682125
"ABHD14A",67.0545580943325,0.0593765383168057,0.388471062394315,-0.152846747324865,0.878519131791199,0.970554964937209
"ABHD14A-ACY1",148.501770816372,0.131176389168993,0.385313516062739,-0.340440663772702,0.733524700224868,0.93208396055426
