"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",296.735253347473,0.191422158055343,0.30004096232529,-0.637986748782028,0.523482306084188,0.739772770247245
"A1BG-AS1",58.3628987111632,-0.0653932071897061,0.294054463978471,0.22238467767146,0.824014438652026,0.917964838106247
"A2M",0,NA,NA,NA,NA,NA
"A2M-AS1",0,NA,NA,NA,NA,NA
"A2ML1",0,NA,NA,NA,NA,NA
"A2MP1",0,NA,NA,NA,NA,NA
"A4GALT",39.3946791967198,-0.393305573004275,0.43255074447763,0.909270364288128,0.363207429947377,0.612970407842539
"AAAS",131.101947885652,-0.848445789142302,0.366538558095253,2.31475180551623,0.020626518833451,0.123067664085544
"AACS",163.891375031402,-0.621381633780829,0.23350809137355,2.66107110090154,0.00778925069067321,0.0663261084679815
"AACSP1",0,NA,NA,NA,NA,NA
"AADACL3",0.074130675804913,-1.13703241418318,3.11653965008542,0.364838103103234,0.715232260509126,NA
"AADAT",7.05608029800789,0.381919194594942,0.585730425553976,-0.652039194026377,0.514375888488059,0.73257711457088
"AAED1",58.9615078981375,0.458787033069835,0.363032447275598,-1.26376316087676,0.206315047368747,0.453746011493716
"AAGAB",925.969244913035,0.277201286304433,0.340285275182887,-0.814614403034191,0.415293063418757,0.656852940861396
"AAK1",134.029554271154,0.765193820112803,0.319886909128584,-2.39207606899981,0.0167533696976225,0.107294442808896
"AAMDC",190.063167101042,-0.0847345850139245,0.291338540730795,0.290845779625915,0.771169270964387,0.889615267973875
"AAMP",1927.37177999862,-0.146890325196881,0.216191104745474,0.67944666534647,0.496854890466561,0.719728528721463
"AANAT",0.77474273628078,0.615378655624286,1.69947435913575,-0.362099405805234,0.717277747660686,NA
"AAR2",229.865692670262,0.0919273872424347,0.227736704186318,-0.40365643988255,0.686465375999608,0.843658332756897
"AARD",0,NA,NA,NA,NA,NA
"AARS",464.39163547063,-1.51823480617486,0.335378453510382,4.52693007044312,5.9846733143444e-06,0.000387077301103435
"AARS2",18.352036472304,-2.39930275035348,0.447444837817902,5.36223138041863,8.22001530475894e-08,1.25292374457008e-05
"AARSD1",121.541031464343,-0.0563197818359604,0.314792702357027,0.178910697148514,0.858007823200905,0.933990031708194
"AASDH",10.8868938969599,-0.132162391898048,0.543944094140066,0.242970542969102,0.80802821706345,0.909935991331947
"AASDHPPT",19.2758361623787,-0.0603414754963382,0.353374378529378,0.170757924633525,0.864414114350595,0.937047987378729
"AASS",3.42173238067422,0.901544464002675,0.799880175368831,-1.12709939784039,0.259700457924485,0.515059680758619
"AATF",60.9484261031482,-0.491542461191371,0.316310200909407,1.55398864715132,0.120187124676963,0.339994290392226
"AATK",11.5696964466816,1.62628076627271,0.484731080526017,-3.35501648565204,0.000793602549691277,0.0137876377622255
"ABAT",0.170411223766149,-0.656141073617772,3.11653965008542,0.210535127829927,0.833250037943563,NA
"ABCA1",1.2964604709242,2.92265095041822,1.24473417570243,-2.34801213581921,0.0188739063438302,NA
"ABCA10",0.177012701780227,-0.213201801189912,2.99616267618708,0.071158286192001,0.943271780015343,NA
"ABCA11P",40.9548402620084,-0.0274391380998901,0.259408780255741,0.105775672175934,0.915760339275608,0.962397104871095
"ABCA12",0,NA,NA,NA,NA,NA
"ABCA13",0,NA,NA,NA,NA,NA
"ABCA17P",0.85241836668001,-0.425811891965836,1.65336953338571,0.257541876372836,0.79676049253499,NA
"ABCA2",31.3143808478285,-0.808929484550593,0.515067566997735,1.5705308126189,0.116291671794452,0.334090733243996
"ABCA3",31.106774427448,-0.504865761461466,0.393349782301334,1.28350334531189,0.199315788316036,0.44492338963173
"ABCA4",0.970993914628319,0.351596695644222,1.34460596972344,-0.261486787624882,0.793717137137008,NA
"ABCA5",13.1572646972312,0.549752632104083,0.47291534516768,-1.16247577440981,0.245042259505842,0.49862847717256
"ABCA7",3.08489981894511,-0.969973741261877,0.842282506639016,1.15160143255544,0.249484892455531,0.5033992005379
"ABCA8",0.176267400240052,-1.11673987429159,3.11592830312057,0.358397166319003,0.720046111958726,NA
"ABCA9",0,NA,NA,NA,NA,NA
"ABCA9-AS1",0,NA,NA,NA,NA,NA
"ABCB1",0.442858873301493,-1.23179635286863,2.49855270357794,0.493003950288779,0.622009796140184,NA
"ABCB10",8.37445825519709,-0.577706447277474,0.706377210925777,0.817844118329261,0.413446202515735,0.655563456100094
"ABCB4",0,NA,NA,NA,NA,NA
"ABCB6",142.976269827609,-1.20156242342995,0.231111081315389,5.19906884858636,2.00289334316645e-07,2.79026732839403e-05
"ABCB7",37.6367721002483,-0.089882751497125,0.337423757270017,0.266379439978786,0.789946997894094,0.898881255221526
"ABCB8",45.7755802606956,-0.726612732291386,0.368269254865863,1.9730474990535,0.048490150942144,0.204971744080397
"ABCB9",303.539291901918,0.151492732380804,0.398019409327565,-0.380616444400898,0.703487877310002,0.851891666363996
"ABCC1",131.926461850663,-0.356026795915155,0.300686990684022,1.18404456110736,0.236395423759085,0.489210265855373
